Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -5508.033    -5526.788       18.756   286.8
0.0005        -5508.014    -5526.781       18.766   286.9
0.0010        -5507.935    -5526.768       18.833   287.9
0.0015        -5507.938    -5526.751       18.812   287.6
0.0020        -5508.040    -5526.730       18.690   285.8
0.0025        -5508.110    -5526.708       18.598   284.3
0.0030        -5508.021    -5526.684       18.663   285.3
0.0035        -5508.029    -5526.660       18.631   284.8
0.0040        -5508.084    -5526.633       18.550   283.6
0.0045        -5507.975    -5526.605       18.630   284.8
0.0050        -5507.781    -5526.575       18.794   287.3
