Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -5508.225    -5527.045       18.820   287.7
0.0010        -5508.213    -5527.037       18.824   287.8
0.0015        -5508.194    -5527.024       18.830   287.9
0.0020        -5508.167    -5527.006       18.838   288.0
0.0025        -5508.133    -5526.982       18.850   288.2
0.0030        -5508.091    -5526.954       18.863   288.4
0.0035        -5508.041    -5526.920       18.879   288.6
0.0040        -5507.984    -5526.881       18.897   288.9
0.0045        -5507.919    -5526.837       18.918   289.2
0.0050        -5507.847    -5526.788       18.942   289.6
