Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0003        -5506.851    -5527.047       20.196   308.8
0.0005        -5506.849    -5527.045       20.196   308.8
0.0007        -5506.846    -5527.042       20.196   308.8
0.0010        -5506.841    -5527.037       20.196   308.8
0.0013        -5506.835    -5527.032       20.197   308.8
0.0015        -5506.827    -5527.025       20.198   308.8
0.0017        -5506.818    -5527.017       20.199   308.8
0.0020        -5506.808    -5527.007       20.200   308.8
0.0022        -5506.796    -5526.997       20.201   308.9
0.0025        -5506.783    -5526.985       20.202   308.9
0.0027        -5506.768    -5526.972       20.204   308.9
0.0030        -5506.752    -5526.958       20.206   308.9
0.0032        -5506.735    -5526.943       20.208   309.0
0.0035        -5506.716    -5526.926       20.210   309.0
0.0038        -5506.696    -5526.909       20.212   309.0
0.0040        -5506.675    -5526.890       20.215   309.1
0.0043        -5506.652    -5526.870       20.218   309.1
0.0045        -5506.628    -5526.849       20.221   309.2
0.0048        -5506.602    -5526.826       20.224   309.2
0.0050        -5506.576    -5526.803       20.227   309.3
0.0053        -5506.547    -5526.778       20.231   309.3
0.0055        -5506.518    -5526.752       20.235   309.4
0.0057        -5506.487    -5526.726       20.239   309.4
0.0060        -5506.454    -5526.698       20.244   309.5
0.0062        -5506.420    -5526.669       20.249   309.6
0.0065        -5506.385    -5526.640       20.255   309.7
0.0067        -5506.349    -5526.609       20.261   309.8
0.0070        -5506.311    -5526.578       20.268   309.9
0.0072        -5506.271    -5526.547       20.275   310.0
0.0075        -5506.231    -5526.514       20.284   310.1
0.0077        -5506.189    -5526.481       20.292   310.3
0.0080        -5506.145    -5526.448       20.302   310.4
0.0082        -5506.101    -5526.413       20.313   310.6
0.0085        -5506.055    -5526.378       20.324   310.7
0.0087        -5506.007    -5526.343       20.336   310.9
0.0090        -5505.958    -5526.307       20.349   311.1
0.0092        -5505.908    -5526.271       20.363   311.3
0.0095        -5505.857    -5526.235       20.378   311.6
0.0097        -5505.804    -5526.198       20.394   311.8
0.0100        -5505.750    -5526.160       20.411   312.1
0.0102        -5505.694    -5526.122       20.428   312.3
0.0105        -5505.637    -5526.084       20.447   312.6
0.0107        -5505.579    -5526.046       20.467   312.9
0.0110        -5505.520    -5526.007       20.488   313.2
0.0112        -5505.459    -5525.968       20.510   313.6
0.0115        -5505.397    -5525.929       20.533   313.9
0.0117        -5505.333    -5525.890       20.557   314.3
0.0120        -5505.268    -5525.850       20.581   314.7
0.0122        -5505.202    -5525.810       20.607   315.1
0.0125        -5505.135    -5525.769       20.634   315.5
0.0127        -5505.066    -5525.728       20.662   315.9
0.0130        -5504.996    -5525.687       20.690   316.3
0.0132        -5504.925    -5525.645       20.720   316.8
0.0135        -5504.853    -5525.603       20.750   317.3
0.0137        -5504.779    -5525.560       20.781   317.7
0.0140        -5504.704    -5525.517       20.813   318.2
0.0142        -5504.628    -5525.474       20.846   318.7
0.0145        -5504.550    -5525.429       20.879   319.2
0.0147        -5504.472    -5525.384       20.913   319.7
0.0150        -5504.392    -5525.339       20.947   320.3
0.0152        -5504.311    -5525.293       20.982   320.8
0.0155        -5504.229    -5525.246       21.017   321.3
0.0157        -5504.145    -5525.198       21.052   321.9
0.0160        -5504.061    -5525.149       21.088   322.4
0.0162        -5503.975    -5525.100       21.125   323.0
0.0165        -5503.889    -5525.050       21.161   323.5
0.0167        -5503.801    -5524.999       21.199   324.1
0.0170        -5503.712    -5524.948       21.236   324.7
0.0172        -5503.622    -5524.896       21.274   325.3
0.0175        -5503.531    -5524.843       21.312   325.8
0.0177        -5503.438    -5524.789       21.350   326.4
0.0180        -5503.345    -5524.734       21.389   327.0
0.0182        -5503.251    -5524.679       21.428   327.6
0.0185        -5503.156    -5524.623       21.467   328.2
0.0187        -5503.059    -5524.566       21.507   328.8
0.0190        -5502.962    -5524.509       21.547   329.4
0.0192        -5502.864    -5524.450       21.586   330.0
0.0195        -5502.765    -5524.391       21.626   330.7
0.0197        -5502.665    -5524.332       21.667   331.3
0.0200        -5502.564    -5524.271       21.707   331.9
0.0202        -5502.462    -5524.210       21.748   332.5
0.0205        -5502.360    -5524.148       21.788   333.1
0.0207        -5502.256    -5524.085       21.829   333.7
0.0210        -5502.152    -5524.022       21.870   334.4
0.0212        -5502.047    -5523.957       21.911   335.0
0.0215        -5501.941    -5523.892       21.952   335.6
0.0217        -5501.834    -5523.827       21.993   336.3
0.0220        -5501.726    -5523.760       22.034   336.9
0.0222        -5501.618    -5523.693       22.075   337.5
0.0225        -5501.509    -5523.626       22.117   338.1
0.0227        -5501.399    -5523.557       22.158   338.8
0.0230        -5501.289    -5523.488       22.199   339.4
0.0232        -5501.178    -5523.419       22.240   340.0
0.0235        -5501.067    -5523.348       22.282   340.7
0.0237        -5500.954    -5523.277       22.323   341.3
0.0240        -5500.842    -5523.206       22.364   341.9
0.0242        -5500.728    -5523.134       22.406   342.6
0.0245        -5500.614    -5523.061       22.447   343.2
0.0247        -5500.500    -5522.988       22.489   343.8
0.0250        -5500.385    -5522.915       22.530   344.5
0.0252        -5500.269    -5522.840       22.571   345.1
0.0255        -5500.153    -5522.766       22.612   345.7
0.0257        -5500.037    -5522.691       22.654   346.4
0.0260        -5499.920    -5522.615       22.695   347.0
0.0262        -5499.803    -5522.539       22.736   347.6
0.0265        -5499.685    -5522.463       22.778   348.3
0.0267        -5499.567    -5522.386       22.819   348.9
0.0270        -5499.449    -5522.309       22.860   349.5
0.0272        -5499.330    -5522.231       22.901   350.1
0.0275        -5499.211    -5522.154       22.942   350.8
0.0277        -5499.092    -5522.076       22.983   351.4
0.0280        -5498.973    -5521.997       23.024   352.0
0.0282        -5498.853    -5521.919       23.065   352.7
0.0285        -5498.733    -5521.840       23.106   353.3
0.0287        -5498.613    -5521.760       23.147   353.9
0.0290        -5498.493    -5521.681       23.188   354.5
0.0292        -5498.373    -5521.601       23.229   355.1
0.0295        -5498.252    -5521.522       23.269   355.8
0.0297        -5498.132    -5521.442       23.310   356.4
0.0300        -5498.011    -5521.362       23.350   357.0
0.0302        -5497.891    -5521.281       23.390   357.6
0.0305        -5497.770    -5521.201       23.431   358.2
0.0307        -5497.650    -5521.121       23.471   358.9
0.0310        -5497.529    -5521.040       23.511   359.5
0.0312        -5497.409    -5520.960       23.551   360.1
0.0315        -5497.288    -5520.880       23.592   360.7
0.0317        -5497.168    -5520.800       23.632   361.3
0.0320        -5497.048    -5520.720       23.672   361.9
0.0322        -5496.928    -5520.640       23.712   362.5
0.0325        -5496.808    -5520.560       23.753   363.2
0.0327        -5496.688    -5520.481       23.793   363.8
0.0330        -5496.569    -5520.402       23.833   364.4
0.0332        -5496.450    -5520.322       23.873   365.0
0.0335        -5496.331    -5520.244       23.913   365.6
0.0337        -5496.212    -5520.165       23.953   366.2
0.0340        -5496.094    -5520.087       23.993   366.8
0.0342        -5495.976    -5520.009       24.033   367.4
0.0345        -5495.859    -5519.931       24.072   368.0
0.0347        -5495.741    -5519.854       24.112   368.7
0.0350        -5495.625    -5519.777       24.152   369.3
0.0352        -5495.508    -5519.701       24.192   369.9
0.0355        -5495.393    -5519.625       24.232   370.5
0.0357        -5495.277    -5519.549       24.272   371.1
0.0360        -5495.163    -5519.474       24.312   371.7
0.0362        -5495.049    -5519.400       24.352   372.3
0.0365        -5494.935    -5519.326       24.391   372.9
0.0367        -5494.822    -5519.253       24.431   373.5
0.0370        -5494.710    -5519.180       24.471   374.1
0.0372        -5494.598    -5519.108       24.510   374.7
0.0375        -5494.487    -5519.037       24.550   375.3
0.0377        -5494.377    -5518.966       24.589   375.9
0.0380        -5494.267    -5518.895       24.628   376.5
0.0382        -5494.158    -5518.826       24.668   377.1
0.0385        -5494.050    -5518.757       24.707   377.7
0.0387        -5493.943    -5518.689       24.745   378.3
0.0390        -5493.837    -5518.621       24.784   378.9
0.0392        -5493.731    -5518.554       24.823   379.5
0.0395        -5493.627    -5518.488       24.861   380.1
0.0397        -5493.523    -5518.423       24.899   380.7
0.0400        -5493.421    -5518.358       24.937   381.3
0.0402        -5493.319    -5518.294       24.975   381.8
0.0405        -5493.218    -5518.231       25.012   382.4
0.0407        -5493.119    -5518.168       25.050   383.0
0.0410        -5493.020    -5518.106       25.086   383.6
0.0412        -5492.922    -5518.045       25.123   384.1
0.0415        -5492.826    -5517.985       25.159   384.7
0.0417        -5492.731    -5517.926       25.195   385.2
0.0420        -5492.637    -5517.867       25.230   385.8
0.0422        -5492.544    -5517.809       25.265   386.3
0.0425        -5492.452    -5517.752       25.300   386.8
0.0427        -5492.362    -5517.696       25.334   387.3
0.0430        -5492.273    -5517.640       25.368   387.8
0.0432        -5492.185    -5517.586       25.401   388.4
0.0435        -5492.099    -5517.532       25.433   388.9
0.0437        -5492.013    -5517.478       25.465   389.3
0.0440        -5491.930    -5517.426       25.496   389.8
0.0442        -5491.847    -5517.374       25.527   390.3
0.0445        -5491.766    -5517.324       25.557   390.7
0.0447        -5491.687    -5517.273       25.586   391.2
0.0450        -5491.609    -5517.224       25.615   391.6
0.0452        -5491.533    -5517.176       25.643   392.1
0.0455        -5491.458    -5517.128       25.670   392.5
0.0457        -5491.384    -5517.081       25.697   392.9
0.0460        -5491.312    -5517.034       25.722   393.3
0.0462        -5491.242    -5516.989       25.747   393.6
0.0465        -5491.173    -5516.944       25.771   394.0
0.0467        -5491.106    -5516.900       25.793   394.4
0.0470        -5491.041    -5516.856       25.815   394.7
0.0472        -5490.977    -5516.813       25.836   395.0
0.0475        -5490.915    -5516.771       25.855   395.3
0.0477        -5490.855    -5516.729       25.874   395.6
0.0480        -5490.796    -5516.688       25.891   395.9
0.0482        -5490.740    -5516.647       25.908   396.1
0.0485        -5490.685    -5516.607       25.923   396.3
0.0487        -5490.631    -5516.568       25.937   396.6
0.0490        -5490.580    -5516.529       25.950   396.7
0.0492        -5490.530    -5516.491       25.961   396.9
0.0495        -5490.482    -5516.453       25.971   397.1
0.0497        -5490.436    -5516.416       25.980   397.2
0.0500        -5490.392    -5516.380       25.988   397.3
0.0502        -5490.349    -5516.343       25.994   397.4
0.0505        -5490.308    -5516.308       25.999   397.5
