Structure,File,Extracted Energy,Predicted Energy,Energy Difference
1,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/773K/Forces_and_traj_773_2.xyz,-5527.3549908718,-3559.5983912309575,1967.756599640842
2,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/773K/Forces_and_traj_773_2.xyz,-5527.3548370836,-3559.5855069520576,1967.7693301315421
3,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/773K/Forces_and_traj_773_2.xyz,-5527.3541100463,-3559.5616185277518,1967.792491518548
4,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/773K/Forces_and_traj_773_2.xyz,-5527.3522567368,-3559.5132141133417,1967.8390426234582
5,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/773K/Forces_and_traj_773_2.xyz,-5527.348708536,-3559.424328538526,1967.9243799974743
6,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/773K/Forces_and_traj_773_2.xyz,-5527.3431054399,-3559.2850259746233,1968.0580794652765
7,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/773K/Forces_and_traj_773_2.xyz,-5527.3354711942,-3559.0963428650343,1968.2391283291659
8,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/773K/Forces_and_traj_773_2.xyz,-5527.3261662479,-3558.8685135343408,1968.4576527135591
9,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/773K/Forces_and_traj_773_2.xyz,-5527.3156483811,-3558.6151173386747,1968.7005310424252
10,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/773K/Forces_and_traj_773_2.xyz,-5527.304524086,-3558.350009972075,1968.9545141139251
