Structure,File,Extracted Energy,Predicted Energy,Energy Difference
1,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.7834228889,-3560.405137614886,1966.3782852740137
2,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.7832938367,-3560.3879743796547,1966.3953194570454
3,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.7826891575,-3560.363139749157,1966.4195494083424
4,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.7814303313,-3560.325877569346,1966.4555527619536
5,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.7792787694,-3560.2703697556617,1966.508909013738
6,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.7760769193,-3560.1920977331897,1966.5839791861104
7,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.7717553557,-3560.089082965639,1966.6826723900613
8,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.7664200637,-3559.9627875433016,1966.8036325203984
9,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.7602875383,-3559.8190081449193,1966.9412793933807
10,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.7536777508,-3559.6663661907687,1967.0873115600316
11,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.746914775,-3559.5142616444177,1967.232653130582
12,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.7404391252,-3559.3715830699725,1967.3688560552278
13,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.7344439413,-3559.2456647638933,1967.4887791774067
14,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.7291614129,-3559.1416596120202,1967.5875018008796
15,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.7246990952,-3559.062046649599,1967.662652445601
