Structure,File,Extracted Energy,Predicted Energy,Energy Difference
1,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.9190734668,-3565.8312280986697,1962.0878453681303
2,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.9156871112,-3565.680095800922,1962.2355913102779
3,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.883810285,-3565.1060590755437,1962.7777512094567
4,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.8344197009,-3564.170578996139,1963.6638407047612
5,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.7720660698,-3562.9626406612756,1964.809425408524
6,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.701566168,-3561.5812274184836,1966.1203387495161
7,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.6271154389,-3560.1142907995295,1967.5128246393701
8,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.5517098612,-3558.623498347627,1968.928211513573
9,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.477063169,-3557.1415148122073,1970.3355483567925
10,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.4039509609,-3555.6799119986513,1971.7240389622489
11,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.3327222707,-3554.242103561116,1973.0906187095843
12,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.2636829513,-3552.8314184649785,1974.4322644863219
13,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.1972785105,-3551.4562243690884,1975.7410541414115
14,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.1340879151,-3550.1311717528447,1977.0029161622556
15,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.0747958499,-3548.870864250502,1978.2039315993975
16,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.020195486,-3547.694233254293,1979.3259622317073
17,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.9712647822,-3546.624228965591,1980.3470358166087
18,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.9291912773,-3545.6931425706744,1981.2360487066253
19,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.8956059883,-3544.9396201605155,1981.9559858277848
20,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.8718758379,-3544.4060709058117,1982.4658049320883
21,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.8590789909,-3544.1238285829663,1982.735250407934
22,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.857187827,-3544.0956025842943,1982.7615852427061
23,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.8648807491,-3544.288840576938,1982.5760401721618
24,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.8798117784,-3544.644741703925,1982.235070074475
25,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.8991214513,-3545.0924320822674,1981.8066893690325
26,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.9199923694,-3545.559854825814,1981.3601375435856
27,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.940079936,-3545.989677946393,1980.9504019896071
28,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.9578141995,-3546.3473642202002,1980.6104499792996
28,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.9725179105,-3546.6175091629602,1980.3550087475396
29,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.9842445313,-3546.8069074975724,1980.1773370337273
30,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.9933298912,-3546.9317266882167,1980.0616032029834
31,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.999888481,-3546.9991152016173,1980.0007732793829
32,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.003546089,-3547.0023711112226,1980.0011749777777
33,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5527.0035744451,-3546.925413876523,1980.0781605685765
34,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.9992808487,-3546.751130976366,1980.2481498723346
35,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.990300524,-3546.470795828613,1980.5195046953872
36,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.9768977964,-3546.086546184509,1980.8903516118912
37,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.9594801433,-3545.6134402223206,1981.3460399209798
38,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.9387848362,-3545.0677205444995,1981.8710642917008
39,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_3.xyz,-5526.9155411308,-3544.4638496375806,1982.4516914932196
